LAPORAN FLAG GAGAL / HRB|||||||||||||||
|||||||||||||||
TANGGAL AWAL|: 2024-08-01||||||||||||||
TANGGAL AKHIR|: 2024-09-18||||||||||||||
NAMA E-COMM|: ALL||||||||||||||
KATEGORI SELLER|: ALL||||||||||||||
SUB KATEGORI SELLER|: ALL||||||||||||||
LAYANAN|: ||||||||||||||
|||||||||||||||
AWB|KODE TOKO ASAL|KODE DC ASAL|KODE TOKO TUJUAN|KODE DC TUJUAN|LAST CURRENT HUB|REASON|DESCRIPTION|NILAI PAKET|ONGKIR|STATUS|TANGGAL STATUS|USERNAME|STATUS SEBELUMNYA|TANGGAL STATUS SEBELUMNYA|USERNAME SEBELUMNYA
